Alert,Risk Level,CWE ID,URL
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/serve-index/vendor.js
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/main.js
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/polyfills.js
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/robots.txt
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/runtime.js
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/sitemap.xml
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/styles.css
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/vendor.js
Hidden File Found,Medium (Low),538,http://localhost:3000/._darcs
Hidden File Found,Medium (Low),538,http://localhost:3000/.bzr
Hidden File Found,Medium (Low),538,http://localhost:3000/.hg
Hidden File Found,Medium (Low),538,http://localhost:3000/BitKeeper
Cross-Domain JavaScript Source File Inclusion,Low (Medium),829,http://localhost:3000
Cross-Domain JavaScript Source File Inclusion,Low (Medium),829,http://localhost:3000
Cross-Domain JavaScript Source File Inclusion,Low (Medium),829,http://localhost:3000/
Cross-Domain JavaScript Source File Inclusion,Low (Medium),829,http://localhost:3000/
Cross-Domain JavaScript Source File Inclusion,Low (Medium),829,http://localhost:3000/juice-shop/build/routes/assets/public/assets/public/favicon_js.ico
Cross-Domain JavaScript Source File Inclusion,Low (Medium),829,http://localhost:3000/juice-shop/build/routes/assets/public/assets/public/favicon_js.ico
Cross-Domain JavaScript Source File Inclusion,Low (Medium),829,http://localhost:3000/juice-shop/build/routes/assets/public/favicon_js.ico
Cross-Domain JavaScript Source File Inclusion,Low (Medium),829,http://localhost:3000/juice-shop/build/routes/assets/public/favicon_js.ico
Cross-Domain JavaScript Source File Inclusion,Low (Medium),829,http://localhost:3000/juice-shop/build/routes/assets/public/main.js
Cross-Domain JavaScript Source File Inclusion,Low (Medium),829,http://localhost:3000/juice-shop/build/routes/assets/public/main.js
Cross-Domain JavaScript Source File Inclusion,Low (Medium),829,http://localhost:3000/juice-shop/build/routes/assets/public/polyfills.js
Cross-Domain JavaScript Source File Inclusion,Low (Medium),829,http://localhost:3000/juice-shop/build/routes/assets/public/polyfills.js
Cross-Domain JavaScript Source File Inclusion,Low (Medium),829,http://localhost:3000/juice-shop/build/routes/assets/public/runtime.js
Cross-Domain JavaScript Source File Inclusion,Low (Medium),829,http://localhost:3000/juice-shop/build/routes/assets/public/runtime.js
