Alert,Risk Level,CWE ID,URL,Alert_encoded,Risk_encoded
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/express/lib/router/styles.css,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/express/lib/router/vendor.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/serve-index/assets/public/assets/public/favicon_js.ico,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/serve-index/assets/public/favicon_js.ico,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/serve-index/assets/public/main.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/serve-index/assets/public/polyfills.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/serve-index/assets/public/runtime.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/serve-index/assets/public/styles.css,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/serve-index/assets/public/vendor.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/serve-index/index.js:145:39,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/serve-index/main.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/serve-index/polyfills.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/serve-index/runtime.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/serve-index/styles.css,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/juice-shop/node_modules/serve-index/vendor.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/main.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/polyfills.js,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/robots.txt,2,6
Cross-Domain Misconfiguration,Medium (Medium),264,http://localhost:3000/runtime.js,2,6
